Date,Calgary CER Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
2024-03,0.06,0.06,0.06,37.17,"1,199,424,535.47","568,063,465.48","4,354","5,385",,0.05
2022-08,0.06,0.06,0.06,35.51,"2,806,818,863.98","1,211,523,912.51","9,546","11,186",26.84,0.07
2022-09,0.06,0.06,0.06,35.54,"3,093,935,845.24","1,464,589,773.02","10,938","12,865",30.32,0.07
2022-10,0.06,0.06,0.05,35.64,"3,427,435,541.85","1,546,904,050.13","12,365","14,553",33.87,0.07
2022-11,0.06,0.06,0.05,35.75,"3,725,734,013.69","1,628,045,619.91","13,866","16,226",37.43,0.07
2022-12,0.06,0.06,0.05,35.87,"3,994,429,445.50","1,705,551,604.61","14,767","17,306",41.04,0.07
2023-01,0.06,0.06,0.05,36.8,"245,348,077.38","78,972,764.61","1,098","1,295",3.62,0.06
2023-02,0.07,0.06,0.05,36.65,"519,104,956.94","204,459,893.38","2,130","2,533",7.04,0.05
2023-03,0.07,0.06,0.05,36.5,"861,705,376.21","344,509,613.27","3,067","3,627",10.4,0.04
2023-04,0.07,0.06,0.05,36.45,"1,274,584,957.51","454,239,010.52","3,971","4,791",13.78,0.05
2023-05,0.06,0.06,0.05,36.38,"1,757,144,976.29","562,003,892.53","5,807","6,867",17.24,0.04
2023-06,0.06,0.06,0.05,36.32,"2,153,223,997.12","645,724,319.22","6,832","8,106",20.67,0.04
2023-07,0.06,0.06,0.05,36.23,"2,485,763,277.84","769,503,483.57","8,276","9,727",24.07,0.04
2023-08,0.06,0.06,0.05,36.21,"3,047,760,973.96","981,308,770.79","9,762","11,407",27.54,0.04
2023-09,0.06,0.06,0.05,36.28,"3,400,111,643.41","1,158,114,377.42","12,248","14,141",31.03,0.04
2023-10,0.06,0.06,0.05,36.38,"3,770,519,529.39","1,248,315,110.90","13,889","16,278",34.57,0.04
2023-11,0.06,0.06,0.05,36.47,"4,125,405,876.28","1,410,059,396.90","15,438","18,086",38.05,0.04
2023-12,0.06,0.06,0.05,36.51,"4,460,496,844.68","1,516,959,662.82","16,679","19,579",41.51,0.04
2024-01,0.06,0.06,0.06,36.9,"317,733,949.10","128,442,188.57","1,491","1,951",44.98,0.04
2024-02,0.06,0.06,0.06,36.95,"788,836,024.09","316,741,884.37","2,819","3,625",,0.05
2020-01,0.07,0.07,0.06,32.71,"132,526,371","71,384,120",589,642,2.76,0.01
2020-02,0.07,0.07,0.06,33.45,"278,319,724.65","264,786,317.60","1,104","1,288",5.58,0.01
2020-03,0.08,0.08,0.06,33.67,"429,516,209.41","324,113,790.37","1,918","2,232",7.91,0
2020-04,0.08,0.08,0.07,33.9,"615,134,360.63","435,064,939.18","2,399","2,807",9.84,0
2020-05,0.09,0.09,0.08,34.2,"771,343,139.89","512,311,881.93","3,039","3,528",12.29,0
2020-06,0.1,0.1,0.09,34.47,"995,692,156.42","560,784,547.89","3,327","3,953",15.15,0.01
2020-07,0.11,0.11,0.09,34.61,"1,207,429,267.37","674,046,653.87","3,977","4,690",18.08,0.01
2020-08,0.11,0.11,0.1,34.67,"1,443,245,593.83","770,378,134.83","4,618","5,426",20.85,0
2020-09,0.11,0.11,0.1,34.7,"1,659,309,423.27","875,476,500.89","5,539","6,461",23.9,0.01
2020-10,0.12,0.11,0.1,34.73,"1,855,314,157.50","1,005,340,446.78","6,408","7,443",26.95,0.01
2020-11,0.11,0.11,0.1,34.74,"2,078,140,419.55","1,067,302,737.61","7,235","8,395",30.03,0.01
2020-12,0.11,0.11,0.09,34.73,"2,304,741,510.19","1,113,740,987.62","7,939","9,235",33.1,0.01
2021-01,0.1,0.11,0.09,34.6,"207,046,464.90","87,912,540.63","1,005","1,122",3.07,0.01
2021-02,0.11,0.11,0.09,34.85,"438,292,418.78","525,040,459.64","1,504","1,764",6.15,0.01
2021-03,0.11,0.11,0.09,34.87,"750,310,233.33","637,216,842.95","2,406","2,822",9.21,0.01
2021-04,0.1,0.1,0.09,34.85,"1,051,815,918.37","744,226,053.83","3,511","4,121",12.26,0.01
2021-05,0.1,0.1,0.09,34.76,"1,358,847,247.35","893,018,571.81","4,786","5,702",15.24,0.02
2021-06,0.1,0.1,0.09,34.65,"1,737,251,095.15","1,577,742,619.48","5,718","6,875",18.26,0.02
2021-07,0.1,0.1,0.08,34.59,"2,121,130,031.90","1,629,988,866.12","6,943","8,279",21.22,0.02
2021-08,0.1,0.1,0.08,34.54,"2,380,977,921.71","1,716,900,927.28","7,855","9,389",24.21,0.03
2021-09,0.1,0.09,0.08,34.56,"2,693,549,059.93","1,763,500,641.59","8,684","10,415",27.27,0.03
2021-10,0.1,0.09,0.08,34.57,"2,985,251,239.92","1,855,918,466.60","9,748","11,670",30.48,0.03
2021-11,0.09,0.09,0.08,34.61,"3,305,993,140.60","1,932,564,499.05","11,766","13,862",33.73,0.03
2021-12,0.09,0.09,0.08,34.65,"3,577,631,832.07","2,044,265,104.09","12,722","15,017",36.89,0.03
2022-01,0.08,0.07,0.06,35.2,"287,914,191.13","81,851,763.83",465,561,3.14,0.05
2022-02,0.08,0.07,0.06,35.15,"534,485,154.46","209,094,726.84","1,476","1,720",6.35,0.06
2022-03,0.08,0.07,0.06,35.2,"986,719,967.01","357,414,808.64","2,566","2,962",9.59,0.06
2022-04,0.07,0.07,0.06,35.3,"1,358,283,611.86","477,723,258.48","3,865","4,473",12.86,0.07
2022-05,0.07,0.07,0.06,35.46,"1,715,200,098.09","606,453,389.54","5,442","6,242",16.33,0.07
2022-06,0.07,0.07,0.06,35.53,"2,150,949,298.81","811,678,892.12","7,108","8,125",19.75,0.07
2022-07,0.07,0.06,0.06,35.53,"2,471,760,488.89","918,949,848.59","8,738","10,004",23.31,0.07
